LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0513260	-1.0	-1.0	38.1	14.3	14.3	23.8	-1.0	14	30572	30411	36525	45174	-1	36251
0513350	64.3	35.7	15.6	29.7	29.7	20.3	4.7	14	31122	36365	39555	43957	43277	38359
0513380	61.4	38.6	21.1	21.1	30.3	21.1	6.4	14	33940	36183	40492	45042	45156	39460
0513410	-1.0	-1.0	21.2	23.3	26.6	22.7	6.2	14	35095	37495	41428	46055	49343	40714
0513440	-1.0	-1.0	38.9	22.2	16.7	22.2	0.0	11	29923	32716	37275	43347	-2	34752
0513530	64.8	35.2	21.7	20.5	30.1	22.9	4.8	14	34888	38783	45158	49711	53881	43088
0513560	36.4	63.6	25.8	19.4	25.8	16.1	12.9	15	30980	34440	39073	42190	40885	36824
0513680	59.0	41.0	23.5	22.7	26.1	19.3	8.4	14	32098	34950	39311	42970	43160	37655
0513740	-1.0	-1.0	23.0	24.6	21.3	21.3	9.8	15	30136	33328	38190	40481	43092	36116
0513930	80.9	19.1	16.0	12.2	21.8	32.7	17.3	20	37103	40715	45434	50365	51153	46126
0513950	-1.0	-1.0	26.9	11.5	34.6	26.9	0.0	14	29809	33387	36769	40178	-2	35423
0514010	62.3	37.7	25.0	28.9	28.9	15.8	-1.0	12	35212	38068	42183	47960	-1	40276
0514040	-1.0	-1.0	22.7	18.2	20.5	31.8	6.8	15	29813	32688	37906	42135	44131	36888
0514140	64.1	35.4	11.2	11.2	27.3	30.7	19.5	20	35187	40041	45532	50218	50619	46188
0514160	64.6	35.4	31.6	19.3	33.3	14.0	-1.0	11	33975	35334	39341	42747	-1	37379
0514370	59.4	40.6	30.6	19.4	22.2	19.4	8.3	13	29463	32145	36936	39282	37170	34196
0514400	-1.0	-1.0	13.9	22.2	47.2	16.7	0.0	13	30500	32500	37171	42010	-2	36013
0514430	65.7	34.3	17.3	16.2	34.5	21.8	10.2	16	36950	41278	45854	50512	51770	45191
0514490	64.8	35.2	26.8	16.9	26.8	25.4	4.2	14	31053	35292	38447	40333	40833	36514
0800001	44.0	52.0	32.0	12.0	28.0	24.0	-1.0	14	28125	30000	34643	37775	-1	32806
0800004	-1.0	90.0	25.0	40.0	20.0	15.0	0.0	11	34537	37960	52081	54571	-2	42420
0800016	73.4	26.6	48.4	20.3	15.6	12.5	-1.0	10	31022	33111	36733	41832	-1	33855
0800017	58.3	36.1	41.7	-1.0	27.8	16.7	8.3	12	28137	-1	33113	40465	40816	32742
0800018	88.9	-1.0	-1.0	-1.0	33.3	-1.0	-1.0	15	-1	-1	33500	-1	-1	33753
0800019	90.0	-1.0	-1.0	30.0	30.0	-1.0	-1.0	16	-1	29890	29667	-1	-1	30519
0800020	65.0	30.0	40.0	30.0	-1.0	-1.0	15.0	12	28438	33991	-1	-1	42753	33513
0801920	45.1	54.8	29.0	26.8	27.1	14.9	2.3	11	32502	38890	45849	55158	58084	41780
0801950	63.0	36.5	55.6	13.3	16.1	11.5	3.6	9	38203	44636	51714	57751	56036	44109
0801980	80.0	-1.0	-1.0	50.0	30.0	-1.0	0.0	10	-1	32170	34250	-1	-2	32375
0802010	66.7	33.3	50.0	-1.0	-1.0	25.0	0.0	11	25691	-1	-1	28473	-2	28786
0802040	80.0	16.0	-1.0	16.0	48.0	24.0	-1.0	16	-1	31181	33556	39067	-1	34300
0802070	38.3	61.7	20.8	20.0	42.5	16.7	0.0	12	30893	38579	45391	50777	-2	41906
0802130	72.2	27.8	-1.0	33.3	33.3	-1.0	16.7	15	-1	31001	35429	-1	47170	35303
0802190	42.7	57.3	11.2	15.7	50.6	20.2	-1.0	15	33928	37324	41685	46026	-1	41228
0802220	80.0	-1.0	0.0	0.0	36.4	36.4	27.3	24	-2	-2	31390	39370	34594	35166
0802260	55.6	44.4	33.3	0.0	-1.0	-1.0	-1.0	17	30867	-2	-1	-1	-1	35756
0802280	44.0	56.0	27.6	23.3	26.7	18.1	4.3	13	37088	43758	55029	64105	70034	49746
0802310	61.3	38.7	46.8	12.9	22.6	11.3	6.5	11	31011	34755	38687	43998	45961	35658
0802340	55.2	44.1	40.3	15.8	18.5	20.0	5.4	12	36476	44098	56106	64723	67730	48643
0802370	52.8	47.2	30.6	29.2	15.3	18.1	6.9	12	32198	37887	40632	52460	51147	40120
0802400	59.0	41.0	28.2	14.1	38.5	17.9	-1.0	13	30649	35300	41464	48097	-1	38764
