LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
2003570	81.8	-1.0	27.3	-1.0	-1.0	0.0	54.5	22	28817	-1	-1	-2	37942	34550
2003630	43.3	56.7	15.0	17.3	39.4	16.5	11.8	16	31118	37032	45756	47207	46987	42440
2003660	73.9	26.1	13.0	21.7	21.7	34.8	-1.0	17	30983	35606	40673	42283	-1	39175
2003690	70.6	29.4	-1.0	35.3	17.6	29.4	-1.0	18	-1	33516	38826	44247	-1	38915
2003720	58.4	41.6	14.3	15.6	31.2	26.0	13.0	18	31536	34112	41916	47192	50150	41657
2003780	56.1	43.9	35.7	14.3	22.4	21.4	6.1	13	31907	36576	42989	48768	43270	39371
2003810	67.2	32.8	13.8	17.2	32.8	10.3	25.9	18	36400	41860	43799	43867	44693	42682
2003870	43.8	56.3	10.0	22.5	21.3	30.0	16.3	19	31041	36196	40092	42813	46015	40089
2003900	78.9	21.1	24.6	12.3	26.3	28.1	8.8	15	33761	38702	40072	45081	48645	40512
2003960	73.3	26.7	-1.0	26.7	30.0	16.7	20.0	18	-1	32123	37121	41749	42753	37121
2004020	55.6	44.4	22.2	22.2	16.7	33.3	-1.0	16	30254	33232	35534	40549	-1	35665
2004050	61.9	38.1	30.6	20.1	25.4	12.7	11.2	13	36282	40787	44681	51180	56399	43463
2004080	75.0	-1.0	0.0	0.0	-1.0	75.0	0.0	23	-2	-2	-1	33245	-2	32545
2004140	82.4	17.6	22.2	33.3	33.3	-1.0	0.0	12	29700	31592	36142	-1	-2	33617
2004170	75.0	25.0	25.0	40.0	-1.0	20.0	-1.0	12	33066	33477	-1	41773	-1	36108
2004200	58.3	41.7	11.0	15.7	22.8	31.5	18.9	20	31969	33329	37379	42161	45490	39184
2004230	62.5	37.5	20.8	12.5	33.3	16.7	16.7	17	32795	36193	40388	45077	42625	39436
2004260	77.8	22.2	25.9	14.8	22.2	25.9	11.1	16	29489	32365	34250	37764	37870	34050
2004290	43.5	56.5	11.6	17.4	39.1	31.9	0.0	16	33651	39968	46437	49393	-2	44772
2004350	81.0	19.0	42.9	23.8	19.0	0.0	14.3	11	30167	32322	38400	-2	42207	33968
2004380	62.5	37.5	-1.0	-1.0	25.0	37.5	18.8	23	-1	-1	38500	42033	44163	39931
2004410	64.3	35.7	19.6	21.4	26.8	21.4	10.7	16	32602	38555	41988	43595	41994	39754
2004440	86.7	13.3	16.7	30.0	26.7	23.3	-1.0	14	29280	32033	34730	39726	-1	34478
2004470	88.0	12.0	12.0	12.0	12.0	52.0	12.0	21	26791	31374	34499	38503	41166	36081
2004500	57.1	42.9	26.7	20.0	26.7	-1.0	-1.0	15	25566	33838	36494	-1	-1	33835
2004560	68.6	31.4	8.6	11.4	37.1	22.9	20.0	20	28299	32343	36830	40061	39769	36912
